
REPOSITORY:TAG                                                                                          DIGEST                                                                    IMAGE ID       CREATED AT                      SIZE
documentgenerationengine-docgen-backend:latest                                                          sha256:3532a8ecb5c83a0451e0ce14a57af5431fa0c275a1d26ecc55565bbd69d24cb1   3532a8ecb5c8   2026-07-20 07:46:01 +0800 CST   1.46GB
documentgenerationengine-docgen-frontend:latest                                                         sha256:31bee0f6e3e2bc4571cc3e22f296bf2477ec8f69f50c17f87b6c9afc07f1d66d   31bee0f6e3e2   2026-07-20 07:45:59 +0800 CST   86MB
dge-ce-g04-legal-hold-docgen-backend:latest                                                             sha256:c07b3e92039b32027f1a9054c25c5084e31d64e6f1a8d900db9e65fe5d7c6055   c07b3e92039b   2026-07-16 20:38:47 +0800 CST   1.46GB
dge-ce-g04-legal-hold-docgen-frontend:latest                                                            sha256:90e70f72327049fa17f4a9a187791983ca711383518e593db375934eb0dffccb   90e70f723270   2026-07-16 16:21:58 +0800 CST   85.6MB
dge-ce-o01-pdfa-output-docgen-backend:latest                                                            sha256:4b7d62ce8624c8abce6edc65504256bfdc4a113a79fbcf667d8881a62506cd7e   4b7d62ce8624   2026-07-16 12:43:10 +0800 CST   1.46GB
dge-ce-e02-asset-library-docgen-backend:latest                                                          sha256:d45de5a637d61ca603fc18057a87bf29b074ac04a4f85ffa9d31b2d4d5b7dbb6   d45de5a637d6   2026-07-16 09:37:26 +0800 CST   1.46GB
dge-ce-e02-asset-library-docgen-frontend:latest                                                         sha256:e701efba892393ddf5f80cda4c6a2cecc8a7fec9626ffe98878ba15805f58817   e701efba8923   2026-07-16 08:46:39 +0800 CST   85.5MB
dge-ce-o01-pdfa-output-docgen-frontend:latest                                                           sha256:dd87017704d7f7c9627d588028ba1bc613f8be58fc2a89da46afd08ca5214961   dd87017704d7   2026-07-16 08:46:39 +0800 CST   85.5MB
dge-ce-u11-invocation-troubleshoot-docgen-backend:latest                                                sha256:1d3c0f15d98f3a25ba1d232b20de0fa6482d8a9f35fc89bf11f70323dcd20750   1d3c0f15d98f   2026-07-15 13:17:37 +0800 CST   1.46GB
dge-ce-u11-invocation-troubleshoot-docgen-frontend:latest                                               sha256:2b4f9500990275e89f27fc3d706c76460d8820f0c93f9dbce1f3ea04acefca50   2b4f95009902   2026-07-15 13:17:31 +0800 CST   85.3MB
dge-ce-k05-master-impact-real-docgen-frontend:latest                                                    sha256:26b93a70f1ca85b5ec5d2dd7d25c814ae3c7c72ba17d42acac4671be390efd5f   26b93a70f1ca   2026-07-15 13:02:21 +0800 CST   85.3MB
dge-ce-k05-master-impact-real-docgen-backend:latest                                                     sha256:fdf71959e1252391aad86f88e319184b92b38bdd6a938def5cd03d59f7dfa324   fdf71959e125   2026-07-15 13:02:21 +0800 CST   1.46GB
dge-ce-u10-shared-group-codes-ui-docgen-backend:latest                                                  sha256:20c639395ea17e00d28159b13abb3a4a360ac63847f552334d20d147e95b4e46   20c639395ea1   2026-07-15 08:19:25 +0800 CST   1.46GB
dge-ce-u10-shared-group-codes-ui-docgen-frontend:latest                                                 sha256:7f966f9bf4dc38f2865c8d3a2be0fe48671806e0c4f4303388b934ae8e5926c0   7f966f9bf4dc   2026-07-15 08:19:15 +0800 CST   85.3MB
dge-ce-k04-semantic-change-diff-docgen-backend:latest                                                   sha256:5aaccfd55dd209818c0246d2be36a11d3045aef295315bbd420b11b8917a558e   5aaccfd55dd2   2026-07-15 07:37:05 +0800 CST   1.46GB
dge-ce-k04-semantic-change-diff-docgen-frontend:latest                                                  sha256:fb992f225a7cbc8d52f8fdb9557cc77e89635c6400782d91cc5727f153164172   fb992f225a7c   2026-07-15 07:36:53 +0800 CST   85.2MB
dge-ce-u09-master-review-reachability-docgen-backend:latest                                             sha256:c7ca3ae6c4098037cfc00419e21fe900ce910db04ee29fce0f48c9b997a450bf   c7ca3ae6c409   2026-07-15 07:22:32 +0800 CST   1.46GB
dge-ce-u09-master-review-reachability-docgen-frontend:latest                                            sha256:da39ad5bb8d4f56c7c31c7a5a0b7341a730bcab9c61f74fe8b987713a887019a   da39ad5bb8d4   2026-07-15 07:22:24 +0800 CST   85.2MB
dge-ce-k03-variable-compute-engine-docgen-backend:latest                                                sha256:416a99cabee7cf74a00c15e6b19f517dd94ad77bed02b8d02d31f241e167ea63   416a99cabee7   2026-07-15 05:26:25 +0800 CST   1.46GB
dge-ce-k03-variable-compute-engine-docgen-frontend:latest                                               sha256:d2e782c988989fd236f6330104e88a9f1e7f6eb3725101a2c196df606a3c823a   d2e782c98898   2026-07-15 05:26:17 +0800 CST   85.2MB
dge-ce-u08-content-module-review-loop-docgen-backend:latest                                             sha256:87f9c8674aa3e7996a052f5ea45c4f1c1d4ce9a85c47602e605e3152d009a6a5   87f9c8674aa3   2026-07-15 05:12:58 +0800 CST   1.46GB
dge-ce-u08-content-module-review-loop-docgen-frontend:latest                                            sha256:dc8867e78ae3d8edc56ab317384ae6741ae3260d80c5281cd37afdd5321f83f7   dc8867e78ae3   2026-07-15 05:12:47 +0800 CST   85.2MB
dge-ce-k02-master-style-authority-docgen-backend:latest                                                 sha256:3b3b373d464ebb7b6f524d28a1d3d40041906baac22d8cb4ec5cf2892f3de109   3b3b373d464e   2026-07-15 03:27:29 +0800 CST   1.46GB
dge-ce-u04-inline-pdf-preview-docgen-frontend:latest                                                    sha256:8dc784ab4c0bef529e2b4f7bb1f2a616e4c69ce696c223d97ee7a8087d186159   8dc784ab4c0b   2026-07-15 01:40:13 +0800 CST   85.2MB
dge-ce-k02-master-style-authority-docgen-frontend:latest                                                sha256:06536eb3a6b1054ad7e8fc941eac29f30f73963906e500d3605d03b8689fd3f0   06536eb3a6b1   2026-07-15 01:40:13 +0800 CST   85.2MB
dge-ce-u04-inline-pdf-preview-docgen-backend:latest                                                     sha256:504b96f3a73148a792b876f83d7f506c900bf36e9cd6ee8e9de2aa09c4c71301   504b96f3a731   2026-07-15 01:12:48 +0800 CST   1.46GB
docgen-font-smoke-test:latest                                                                           sha256:7ce8126c96ff7fc1242f241eb0b324c772e70fa5b9b43797a2465e80046be57c   7ce8126c96ff   2026-07-08 01:11:52 +0800 CST   1.39GB
docgen-lo-test:latest                                                                                   sha256:8eb6ce81a74f3e7f6803c026d7951b5a4a29ddfdf83d941b261436d8e3f3aaa7   8eb6ce81a74f   2026-07-01 11:17:41 +0800 CST   1.68GB

